file,url,status,words_before,words_after,diagnosis
2025-01-23-telecom-egypt-cisco-2africa-mediterranean-ahram.md,https://gate.ahram.org.eg/News/5081510.aspx,failed,152,16,likely-summary | TimeoutError | extract too short | extract too short
2025-01-23-visa-strategic-investment-moniepoint.md,https://techcabal.com/2025/01/23/moniepoint-visa-investment,full,371,532,ambiguous
2025-01-24-draft-law-media-regulator.md,https://techreviewafrica.com/news/1958/senegal-introduces-draft-law-to-establish-a-new-media-regulatory-authority,full,401,532,ambiguous
2025-01-24-social-media-shutdown-cpj.md,https://cpj.org/2025/01/south-sudan-blocks-social-media-access-amid-unrest/,full,220,421,ambiguous
2025-01-25-ansice-cisa-cybersecurite-infrastructures-critiques.md,https://lendjampost.com/securite-informatique-lansice-et-la-cisa-unissent-leurs-forces-pour-proteger-les-infrastructures-critiques-du-tchad/,full,222,647,likely-summary
2025-01-25-cst-35-anos-expansao-rede-conectividade-escolas.md,https://rstp.st/2025/01/25/cst-celebra-35-anos-apostando-na-expansao-da-rede-e-melhoria-da-conectividade-nas-escolas/,full,411,684,ambiguous
2025-01-27-multiuse-biometric-id-card-launch.md,https://www.biometricupdate.com/202501/nigeria-launching-multiuse-biometric-id-card-to-drive-economic-financial-inclusion,full,707,1236,likely-verbatim
2025-01-27-paix-dakar-data-center-connectingafrica.md,https://www.connectingafrica.com/data-centers/paix-to-build-data-center-in-senegal,full,504,785,likely-verbatim
2025-01-29-court-id-issuance-40k-persecuted-kenyans-biometricupdate.md,https://www.biometricupdate.com/202501/court-judgement-paves-way-for-national-id-issuance-to-over-40k-persecuted-kenyans,full,390,1074,ambiguous
2025-01-29-national-single-window-2025.md,https://www.vanguardngr.com/2025/01/fg-set-to-implement-national-single-window-project-in-2025,failed,36,,likely-summary | http 403 | http 403 | http 403
2025-01-29-telcos-lost-11-billion-tariff-delay.md,https://techcabal.com/2025/01/29/nigeria-telcos-lost-11-3-billion,full,601,766,likely-verbatim
2025-01-30-startup-law-implementation-phase.md,https://www.wearetech.africa/en/fils-uk/news/tech/senegals-startup-law-advances-into-implementation-phase,full,318,427,likely-summary
2025-01-31-alive-dicentre4ai-ai-labs.md,https://techreviewafrica.com/news/1997/senegal-bolsters-ai-development-with-launch-of-alive-and-dicentre4ai-laboratories,full,312,456,likely-summary
2025-01-31-starlink-university-internet-elcome.md,https://www.itedgenews.africa/sierra-leone-partners-with-starlink-to-expand-university-internet/,full,152,762,likely-summary
2025-02-03-ai-tool-public-service-efficiency.md,https://www.wearetech.africa/en/fils-uk/news/public-management/nigeria-launches-ai-powered-tool-to-revolutionize-public-service-efficiency,full,241,367,likely-summary
2025-02-04-ai-strategy-for-senegal.md,https://lesoleil.sn/actualites/sciences/intelligence-artificielle-quelle-strategie-pour-le-senegal/,full,714,936,likely-summary
2025-02-04-kaduna-land-administration-software.md,https://www.thisdaylive.com/2025/02/04/kaduna-unveils-software-to-improve-land-administration,full,293,523,likely-verbatim
2025-02-04-ninea-business-registration-platform.md,https://www.wearetech.africa/en/fils-uk/news/public-management/senegal-launches-new-platform-to-streamline-business-registration,full,200,309,ambiguous
2025-02-05-ai-connectivity-government-initiatives.md,https://techafricanews.com/2025/02/05/nigeria-advances-ai-and-connectivity-with-two-major-government-initiatives,full,256,350,ambiguous
2025-02-05-west-african-roaming-mou-lbr-gmb-sle.md,https://www.telecomreviewafrica.com/articles/general-news/11208-west-african-nations-sign-roaming-agreement-to-cut-telecom-costs/,full,161,323,likely-summary
2025-02-06-ai-procurement-platform-states.md,https://www.vanguardngr.com/2025/02/ai-integrated-platform-to-simplify-public-procurement-data-in-plateau-edo-ekiti,failed,27,,likely-summary | http 403 | http 403 | http 403
2025-02-07-in-the-shadows-of-mass-surveillance-mauritiustimes.md,https://www.mauritiustimes.com/mt/in-the-shadows-of-mass-surveillance/,full,181,1235,likely-summary
2025-02-10-busha-lists-cngn-stablecoin.md,https://techafricanews.com/2025/02/10/busha-lists-cngn-expanding-nigerias-digital-economy,full,91,178,likely-summary
2025-02-10-nigeria-sweden-connectivity-agreement.md,https://itweb.africa/article/nigeria-sweden-pen-agreement-to-enhance-connectivity/JBwErvn3nzK76Db2,full,186,231,ambiguous
2025-02-11-telemedan-solar-kiosks-rural-healthcare.md,https://www.wearetech.africa/en/fils-uk/solutions/telemedan-delivers-healthcare-to-rural-chad-through-solar-powered-kiosks,full,261,374,ambiguous
2025-02-12-coupure-internet-lac-internet-society.md,https://lendjampost.com/coupure-dinternet-dans-le-lac-internet-society-tchad-tire-la-sonnette-dalarme/,full,301,716,likely-summary
2025-02-13-nigeria-google-ai-alliance.md,https://itweb.africa/article/nigeria-establishes-google-ai-alliance/kLgB17ezj6GM59N4,full,294,339,ambiguous
2025-02-14-assabah-tunisie-telecom-launches-5g.md,https://www.assabahnews.tn/ar/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%A4%D8%B3%D8%B3%D8%A7%D8%AA/117360-%D8%A7%D8%AA%D8%B5%D8%A7%D9%84%D8%A7%D8%AA-%D8%AA%D9%88%D9%86%D8%B3-%D8%AA%D8%B7%D9%84%D9%82-%D8%B1%D8%B3%D9%85%D9%8A%D8%A7-%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D8%AC%D9%8A%D9%84-%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3-%D9%88%D8%A7%D9%84%D8%AA%D8%B2%D8%A7%D9%85-%D8%A8%D8%AA%D8%BA%D8%B7%D9%8A%D8%A9-%D9%83%D8%A7%D9%85%D9%84-%D8%AC%D9%87%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D9%84%D8%A7%D8%AF,full,371,1555,likely-summary
2025-02-14-domestic-telecom-infrastructure-production.md,https://itweb.africa/article/nigeria-promotes-domestic-telecom-infrastructure-production/5yONP7Erw5YMXWrb,full,265,319,ambiguous
2025-02-15-new-deal-stakes-and-challenges.md,https://lesoleil.sn/actualites/technologie/programme-new-deal-technologique-enjeux-et-defis-dune-strategie/,full,874,1109,likely-summary
2025-02-17-developingtelecoms-three-operators-launch-5g.md,https://www.developingtelecoms.com/telecom-technology/wireless-networks/18000-orange-tunisia-ooredoo-tunisia-and-tunisie-telecom-launch-5g.html,full,294,654,ambiguous
2025-02-17-tchad-inde-partenariat-numerique.md,https://www.wearetech.africa/fr/fils/actualites/gestion-publique/le-tchad-explore-un-partenariat-avec-l-inde-dans-le-numerique,full,395,668,likely-summary
2025-02-19-microsoft-pledges-1m-ai-training.md,https://techcabal.com/2025/02/19/microsoft-pledges-1m,full,514,678,likely-verbatim
2025-02-21-bioenable-mosip-national-digital-id-pilot-biometricupdate.md,https://www.biometricupdate.com/202502/bioenable-powers-niger-pilot-for-mosip-based-national-digital-id,full,284,965,likely-summary
2025-02-24-new-deal-1105-billion-investment.md,https://lesoleil.sn/actualites/economie/new-deal-technologique-un-investissement-cle-de-1105-milliards-de-fcfa/,full,178,426,likely-summary
2025-02-24-new-deal-2034-indicators.md,https://lesoleil.sn/actualites/technologie/datajournalisme-zoom-sur-les-indicateurs-du-new-deal-technologique-a-lhorizon-2034/,full,109,347,likely-summary
2025-02-24-new-deal-council-members.md,https://lesoleil.sn/actualites/technologie/les-noms-des-20-membres-du-conseil-national-du-new-deal-technologique/,full,245,480,likely-summary
2025-02-24-new-deal-launch-live-coverage.md,https://lesoleil.sn/actualites/technologie/live-suivez-en-direct-le-lancement-du-new-deal-technologique/,full,1442,1698,likely-summary
2025-02-24-sall-interview-digital-society.md,https://lesoleil.sn/actualites/arts-et-culture/le-new-deal-vise-a-faire-du-senegal-une-societe-digitale-a-forte-valeur-ajoutee/,full,788,1048,likely-summary
2025-02-24-starlink-pretende-investir-stp-eua.md,https://rstp.st/2025/02/24/empresa-starlink-de-elon-musk-pretende-investir-em-stp-trazendo-internet-de-alta-qualidade/,full,346,539,likely-summary
2025-02-25-ai-chatbot-domestic-violence-portal.md,https://www.wearetech.africa/en/fils-uk/news/tech/nigeria-launches-ai-chatbot-and-self-reporting-portal-for-domestic-violence-survivors,full,311,438,likely-summary
2025-02-25-birth-registration-reforms-automatic-id-biometricupdate.md,https://www.biometricupdate.com/202502/kenyas-birth-registration-reforms-set-the-stage-for-automatic-national-id-issuance,full,407,1079,likely-verbatim
2025-02-25-centre-apprentissage-numerique-abeche.md,https://www.wearetech.africa/fr/fils/breves/breves-simple/tchad-un-centre-d-apprentissage-numerique-inaugure-a-abeche,full,90,509,likely-summary
2025-02-27-africas-blueprint-secure-digital-future-qa.md,https://techafricanews.com/2025/02/27/exclusive-qa-africas-blueprint-for-a-secure-digital-future/,full,273,1961,likely-summary
2025-02-27-local-cyber-insurance-products.md,https://itweb.africa/article/nigerias-spark-to-ignite-local-cyber-insurance-products/rxP3jMBEwAw7A2ye,full,221,287,likely-summary
2025-02-28-nigeria-7000-towers-5g.md,https://itweb.africa/article/nigeria-advances-in-dx-and-5g-with-7000-new-telecom-towers/LPp6VMrBoX4MDKQz,full,324,399,ambiguous
2025-03-02-senum-explains-new-deal-concepts.md,https://lesoleil.sn/web-tv/new-deal-technologique-les-agents-de-senum-sa-expliquent-les-concepts-cles/,full,319,571,likely-summary
2025-03-04-developingtelecoms-hytera-cws-mou.md,https://www.developingtelecoms.com/telecom-technology/wireless-networks/18097-hytera-and-cws-aim-to-drive-digital-transformation-in-seychelles.html,full,156,585,likely-summary
2025-03-04-minister-raliou-national-data-center-interview-lesahel.md,https://www.lesahel.org/entretien-accorde-a-la-rtn-par-le-ministre-de-la-communication-des-postes-et-de-leconomie-numerique-m-sidi-mohamed-raliou-nous-sommes-en-train-de-construire-un-data-center/,full,342,5334,likely-summary
2025-03-06-biometric-drivers-licence-tender-ag.md,https://www.biometricupdate.com/202503/south-africas-biometric-drivers-license-tender-process-no-good-ag-finds,full,589,1038,likely-verbatim
2025-03-06-treasury-management-system-launch.md,https://techafricanews.com/2025/03/06/nigeria-launches-treasury-management-system-to-enhance-revenue-and-budget-efficiency,full,257,346,likely-summary
2025-03-07-dpi-framework-unified-services-2027.md,https://www.wearetech.africa/en/fils-uk/news/public-management/nigeria-unveils-plan-for-unified-digital-services-by-2027,full,344,461,ambiguous
2025-03-07-national-electronic-assets-register.md,https://www.thisdaylive.com/2025/03/07/uzoka-anite-national-electronic-assets-register-will-boost-nigerias-rating-with-creditors-unlock-investments-others,full,833,1068,likely-verbatim
2025-03-07-trans-saharan-fiber-project-delays.md,https://www.wearetech.africa/en/fils-uk/news/public-management/chad-urges-speed-on-delayed-trans-saharan-fiber-optic-project,full,357,467,ambiguous
2025-03-08-nigerias-first-biometric-census.md,https://www.thisdaylive.com/2025/03/08/nigerias-first-biometric-census,full,880,1105,likely-summary
2025-03-08-nimc-nelfund-biometric-cards-mou.md,https://www.thisdaylive.com/2025/03/08/nimc-nelfund-data-mining-sign-mou-on-biometric-enabled-cards,full,352,582,likely-summary
2025-03-10-starlink-second-largest-isp.md,https://techcabal.com/2025/03/10/starlink-now-nigerias-second,full,507,681,likely-verbatim
2025-03-11-digital-id-before-2029-elections.md,https://www.biometricupdate.com/202503/south-africa-envisages-fully-functional-digital-id-system-before-2029-national-elections,full,817,1206,likely-verbatim
2025-03-11-france-senegal-digital-entrepreneurship.md,https://www.wearetech.africa/en/fils-uk/news/tech/france-and-senegal-strengthen-ties-to-boost-digital-entrepreneurship-and-innovation,full,351,471,likely-summary
2025-03-12-digital-schools-sonatel-mou.md,https://www.wearetech.africa/en/fils-uk/news/tech/senegal-launches-digital-schools-program-with-sonatel-s-support,full,347,457,likely-verbatim
2025-03-12-ipnx-abia-state-connectivity.md,https://techcabal.com/2025/03/12/digital-transformation-ipnx-secures-partnership-with-abia-state-government-to-provide-connectivity-and-managed-network-services,full,558,788,likely-verbatim
2025-03-13-starlink-officially-available-niger-actuniger.md,https://www.actuniger.com/technologie/20854-starlink-enfin-disponible-officiellement-au-niger-lespoir-dune-connexion-fiable-et-rapide-devient-realite.html,full,185,880,likely-summary
2025-03-14-airtel-ai-spam-alert.md,https://itweb.africa/article/airtel-nigeria-launches-ai-spam-alert-service/wbrpO7g2oapvDLZn,full,133,197,ambiguous
2025-03-14-ifc-agricultural-payments-digitization.md,https://www.wearetech.africa/en/fils-uk/news/tech/senegal-to-digitize-agricultural-payments-with-ifc-support,full,268,378,likely-summary
2025-03-14-mylagosapp-mtn-lagos-state.md,https://techafricanews.com/2025/03/14/mylagosapp-goes-live-mtn-nigeria-and-lagos-state-partner-for-digital-innovation,full,266,376,likely-summary
2025-03-17-advocates-privacy-inclusion-maisha-namba-biometricupdate.md,https://www.biometricupdate.com/202503/advocates-pick-privacy-inclusion-holds-in-kenyas-maisha-namba-digital-id-system,full,630,1333,ambiguous
2025-03-17-starlink-beams-into-niger-connectingafrica.md,https://www.connectingafrica.com/connectivity/starlink-beams-into-niger,full,139,720,likely-summary
2025-03-19-ai-as-public-good-regulation.md,https://lesoleil.sn/opinions/point-de-vue/lia-comme-bien-public-une-necessite-de-garantir-la-regulation-de-cette-technologie/,full,1186,1455,likely-summary
2025-03-19-senate-social-media-legislation.md,https://itweb.africa/article/senate-progresses-social-media-legislation/JBwErvn3ogJ76Db2,full,357,424,likely-summary
2025-03-19-starlink-license-chad-launch-niger.md,https://www.telecomreviewafrica.com/articles/general-news/11399-starlink-launches-services-in-niger-and-secures-operating-license-in-chad/,full,170,266,likely-summary
2025-03-20-1000-rural-base-stations.md,https://itweb.africa/article/closing-the-gap-nigeria-plans-1-000-new-rural-base-stations/P3gQ2MGAwz5vnRD1,full,276,323,likely-summary
2025-03-20-fg-land-information-system-digitisation.md,https://www.thisdaylive.com/2025/03/20/with-300-billion-in-dead-capital-fg-plans-digitisation-of-land-information-system-nationwide,full,807,1042,ambiguous
2025-03-20-flutterwave-firs-tax-payments.md,https://techafricanews.com/2025/03/20/flutterwave-firs-revolutionize-tax-payments-in-nigeria,full,101,189,likely-summary
2025-03-20-rack-centre-data-sovereignty.md,https://www.thisdaylive.com/2025/03/20/rack-centres-new-data-facility-will-boost-data-sovereignty-reduce-cost,full,721,954,likely-verbatim
2025-03-21-derfj-sonatel-entrepreneurship-pact.md,https://www.wearetech.africa/en/fils-uk/news/tech/senegal-partners-with-sonatel-to-boost-digital-entrepreneurship,full,314,421,likely-summary
2025-03-24-ndpc-probes-tiktok-truecaller.md,https://itweb.africa/article/nigeria-probes-tiktok-truecaller-on-suspected-data-breaches/o1Jr5qxPz3yqKdWL,full,282,327,likely-verbatim
2025-03-24-visa-data-centre-1-billion.md,https://www.wearetech.africa/en/fils-uk/news/visa-plans-to-establish-data-centre-in-nigeria-expands-1-billion-investment-portfolio,full,344,473,likely-summary
2025-03-25-biometric-verification-fee-increase.md,https://www.biometricupdate.com/202503/south-africa-upgrades-biometric-verification-system-for-critical-public-services-increases-fees,full,735,1110,likely-verbatim
2025-03-26-benue-40000-civil-servants-training.md,https://www.wearetech.africa/en/fils-uk/news/tech/nigeria-benue-state-commits-to-training-40-000-civil-servants-in-digital-skills,full,280,392,ambiguous
2025-03-26-senum-sonatel-partnership.md,https://www.wearetech.africa/en/fils-uk/news/public-management/senum-sonatel-announce-partnership-to-enhance-digital-services-and-connectivity-in-senegal,full,327,443,likely-summary
2025-03-27-huawei-partnership-digital-sovereignty.md,https://www.wearetech.africa/en/fils-uk/news/tech/senegal-eyes-stronger-huawei-partnership-for-digital-sovereignty-and-tech-hub-goals,full,346,460,likely-summary
2025-03-29-ipdcp-demarre-activites.md,https://www.togofirst.com/fr/tic/2903-16040-numerique-l-instance-de-protection-des-donnees-a-caractere-personnel-demarre-ses-activites,full,191,831,likely-summary
2025-03-31-instapay-fees-introduced-april-2025-ahram.md,https://gate.ahram.org.eg/News/5145456.aspx,failed,106,17,likely-summary | TimeoutError | TimeoutError | extract too short
2025-03-31-mandatory-citizen-registration-regulation.md,https://www.biometricupdate.com/202503/nigeria-inches-towards-mandatory-citizen-registration-if-new-regulation-approved,full,399,930,likely-summary
2025-04-01-court-halts-school-fees-ecitizen-nation.md,https://nation.africa/kenya/news/court-halts-mandatory-school-fees-payment-via-ecitizen-4986380,full,359,837,ambiguous | http 403
2025-04-02-nira-acquires-high-capacity-id-machines.md,https://www.newvision.co.ug/category/news/nira-acquires-high-capacity-machines-for-nati-NV_208049_022026,dead-link,353,,likely-summary | http 404
2025-04-02-uganda-startup-income-tax-exemption.md,https://www.wearetech.africa/en/fils-uk/news/public-management/uganda-bets-on-tax-cuts-to-support-startups,full,119,410,likely-summary
2025-04-03-nitda-doballi-tech-talent-mou.md,https://www.wearetech.africa/en/fils-uk/news/public-management/nitda-partners-with-doballi-to-boost-employment-for-nigerian-tech-talents,full,92,512,likely-summary
2025-04-05-key-pillars-ai-development-onecitizendaily.md,https://www.onecitizendaily.com/index.php/2025/04/05/south-sudan-identifies-key-pillars-for-ai-development/,full,187,444,likely-summary
2025-04-05-uganda-calls-inclusive-ai-policies-kigali-summit.md,https://www.newvision.co.ug/category/science/uganda-calls-for-inclusive-ai-policies-at-kig-NV_208261_022026,full,149,540,likely-summary
2025-03-30-interior-cybercrime-cases-q1-2025-alwasat.md,https://alwasat.ly/news/libya/471949,full,90,640,likely-summary
2025-04-07-fibre-optics-boost-ai-onecitizendaily.md,https://www.onecitizendaily.com/index.php/2025/04/07/govt-targets-fibre-optics-to-boost-ai-development/,full,242,756,likely-summary
2025-04-07-governo-lanca-sistema-emissao-documentos-embaixada-portugal.md,https://www.jornaltransparencia.st/host134.htm,full,330,491,likely-summary
2025-04-09-ict-data-protection-strategy-in-preparation-lexpress.md,https://lexpress.mu/node/544152,failed,213,,likely-summary | http 403 | http 403 | http 403
2025-04-10-experts-back-tanzania-cyber-security-push.md,https://www.thecitizen.co.tz/tanzania/news/national/experts-back-tanzania-s-cyber-security-push-amid-growing-digital-threats-4998368,full,245,886,likely-summary
2025-04-11-kuelekea-uchumi-kidijitali-usalama-mtandaoni.md,https://www.mwananchi.co.tz/mw/habari/kitaifa/kuelekea-uchumi-wa-kidijitali-tanzania-kujiimarisha-usalama-mtandaoni-4998806,full,163,701,likely-summary
2025-04-11-techafricanews-telecom-data-driven-growth.md,https://techafricanews.com/2025/04/11/tunisias-telecom-sector-sees-strong-data-driven-growth/,full,146,249,likely-summary
2025-04-14-mtn-15yr-mobile-licence-techafricanews.md,https://techafricanews.com/2025/04/14/mtn-secures-15-year-license-to-deepen-digital-footprint-in-south-sudan/,full,162,345,likely-summary
2025-04-14-nida-kutoa-namba-watoto-wageni-jamii-namba.md,https://www.mwananchi.co.tz/mw/habari/kitaifa/nida-kutoa-namba-kwa-watoto-na-wageni-kuzifuta-hizi--5002542,full,226,698,likely-summary
2025-04-14-starlink-license-somalia.md,https://www.hiiraan.com/news4/2025/Apr/201121/starlink_launches_in_somalia_expanding_satellite_internet_to_underserved_regions.aspx,full,214,526,likely-summary
2025-04-14-uganda-launching-5-mosip-modules.md,https://www.biometricupdate.com/202504/uganda-launching-5-mosip-modules-for-national-digital-id,full,192,816,likely-summary
2025-04-15-mandatory-eportal-breach-reporting.md,https://www.insideprivacy.com/data-security/data-breaches/south-africa-introduces-mandatory-e-portal-reporting-for-data-breaches/,full,922,914,ambiguous
2025-04-15-nitda-draft-dpi-technical-standards.md,https://www.biometricupdate.com/202504/nigerias-it-agency-seeks-feedback-on-draft-technical-standards-for-dpi,full,143,843,likely-summary
2025-04-20-mps-multi-billion-ecitizen-deal-cancelled-nation.md,https://nation.africa/kenya/news/-why-mps-want-multi-billion-shilling-e-citizen-deal-cancelled-5010120,full,795,1204,likely-verbatim | http 403
2025-04-20-somalia-nira-id-center-boondheere.md,https://www.hiiraan.com/news4/2025/Apr/201207/somalia_opens_national_id_center_in_boondheere_to_expand_access_to_services.aspx,full,210,706,likely-summary
2025-04-22-lesoleil-interoperability-platform.md,https://lesoleil.sn/actualites/technologie/le-senegal-lance-une-plateforme-interministerielle-et-interoperable-pour-les-echanges-de-donnees/,full,227,487,likely-summary
2025-04-24-ixpn-1tbps-traffic-milestone.md,https://techafricanews.com/2025/04/24/ixpn-hits-1tbps-traffic-milestone-boosting-nigerias-digital-growth/,full,70,233,likely-summary
2025-04-25-ursb-hands-marriage-registration-to-nira.md,https://www.newvision.co.ug/category/family/ursb-hands-over-marriage-registration-role-to-NV_209508_032026,full,202,935,likely-summary
2025-04-29-cbn-open-banking-august-launch.md,https://techcabal.com/2025/04/29/cbn-launches-open-banking/,full,141,527,likely-summary
2025-04-30-nigeria-joins-global-cbpr-privacy-forum.md,https://www.vanguardngr.com/2025/04/nigeria-joins-global-cross-border-privacy-forum/,full,125,1056,likely-summary
2025-05-01-wuri-niger-birth-certificate-pilot-filingue-biometricupdate.md,https://www.biometricupdate.com/202505/niger-starts-pilot-under-wuri-project-to-issue-birth-certificates-to-21k-under-fives,full,260,915,likely-summary
2025-05-06-airtel-spacex-starlink-afrika.md,https://www.mwananchi.co.tz/mw/habari/kitaifa/airtel-yatangaza-kushirikiana-na-spacex-kuleta-mtandao-wa-starlink-barani-afrika-5030464,full,187,456,likely-summary
2025-05-06-kampala-malaba-fibre-route-bayobab.md,https://www.newvision.co.ug/category/business/kampala-malaba-get-new-fibre-optic-route-NV_210273_052026,dead-link,152,,likely-summary | http 404
2025-05-06-mastercard-ndpc-informal-sector-dpo.md,https://itweb.africa/article/mastercard-ndpc-target-data-protection-in-nigerias-informal-sector/RgeVDqPRa8Y7KJN3,full,110,367,likely-summary
2025-05-06-ninetec-nine-starlink-kit-distribution-lesahel.md,https://www.lesahel.org/lancement-officiel-des-activites-de-distribution-des-kits-starlink-par-ninetec-garantir-une-connexion-internet-fiable-accessible-partout-et-a-moindre-cout/,full,233,772,likely-summary
2025-05-07-nigeria-virtual-privacy-academy.md,https://itweb.africa/article/nigeria-debuts-virtual-privacy-academy/KBpdg7pmZPOMLEew,full,121,289,likely-summary
2025-05-08-bayobab-uganda-kenya-fiber-connectingafrica.md,https://www.connectingafrica.com/fiber-networking/bayobab-connects-uganda-kenya-with-new-fiber-route,full,274,810,ambiguous
2025-05-08-popia-regulations-amendments.md,https://connectontech.bakermckenzie.com/south-africa-amendments-to-the-popia-regulations-key-changes-you-need-to-know/,kept,1094,453,likely-summary | stored longer (1094)
2025-05-08-somalia-dpi-tools-hubiye-eaqoonsi-cds.md,https://www.biometricupdate.com/202505/somalia-unveils-dpi-tools-for-biometric-verification-id-issuance-and-service-access,full,252,961,ambiguous
2025-05-08-uganda-targets-33m-mass-id-registration.md,https://www.biometricupdate.com/202505/uganda-targets-33m-citizens-for-mass-id-registration-renewal-from-may-27,full,271,943,likely-summary
2025-05-09-biometricupdate-refugees-biometric-ids-idemia-unhcr.md,https://www.biometricupdate.com/202505/chad-issues-biometric-ids-to-thousands-of-refugees-with-idemia-tech-unhcrs-help,full,282,916,likely-summary
2025-05-09-huawei-innovation-centre-lagos.md,https://itweb.africa/article/huawei-nigeria-opens-innovation-centre-in-lagos/mYZRXM9g6gWvOgA8,full,87,317,likely-summary
2025-05-09-isa-2025-crypto-securities.md,https://techcabal.com/2025/05/09/investments-and-securities-act-nigeria-2025/,full,140,2110,likely-summary
2025-05-09-techafricanews-phase3-sonatel-fibre.md,https://techafricanews.com/2025/05/09/west-africas-digital-backbone-phase3-and-sonatel-launch-3500km-fibre-route/,full,171,612,likely-summary
2025-05-10-lesoleil-bceao-fintech-agrements.md,https://lesoleil.sn/actualites/economie/blocage-de-fintechs-les-eclairages-de-la-bceao/,full,181,769,likely-summary
2025-05-12-medusa-submarine-cable-inaugurated-misrata-libyaherald.md,https://libyaherald.com/2025/05/medusa-submarine-cable-project-linking-libya-with-europe-inaugurated,full,125,743,likely-summary
2025-05-13-cbn-diaspora-nrbvn-platform.md,https://www.vanguardngr.com/2025/05/cbn-launches-diaspora-bvn-platform/,full,112,612,likely-summary
2025-05-13-nation-ai-nccc-amps-media.md,https://nation.sc/articles/26060/from-headlines-to-algorithms-media-practitioners-explore-ai-with-nccc-and-amps,full,144,251,likely-summary
2025-05-14-safaricom-ixafrica-ai-data-centre-itweb.md,https://itweb.africa/article/safaricom-ixafrica-launch-east-africas-first-ai-ready-data-centre/wbrpO7g2XBLvDLZn,full,373,448,likely-verbatim
2025-05-15-tips-transforms-payments-financial-inclusion.md,https://ippmedia.co.tz/the-guardian/business/read/tips-transforms-payments-catalyse-financial-inclusion-across-tanzania-2025-05-15-100840,full,195,1487,likely-summary
2025-05-16-tanzania-allocates-sh73-billion-ict-backbone.md,https://www.thecitizen.co.tz/tanzania/news/national/tanzania-allocates-sh73-billion-to-expand-national-ict-backbone-5043972,full,256,596,likely-summary
2025-05-18-fg-2bn-fibre-project-bridge-tijani.md,https://www.vanguardngr.com/2025/05/fg-to-roll-out-2bn-fibre-optic-infrastructure-nationwide-by-q4-2025-tijani/,full,115,642,likely-summary
2025-05-19-draft-guidance-biometrics-age-assurance-biometricupdate.md,https://www.biometricupdate.com/202505/kenya-releases-draft-guidance-on-biometrics-age-assurance,full,334,847,ambiguous
2025-05-21-eswatini-launches-new-apps-giyh-taxpal.md,https://independentnews.co.sz/14361/science-technology/eswatini-launches-new-apps-to-ease-access-to-government-services/,full,266,486,likely-summary
2025-05-21-potraz-approves-telco-tariff-raise.md,https://www.newsday.co.zw/local-news/article/200042088/potraz-approves-telco-tariff-raise-as-sector-battles-soaring-costs,full,204,844,likely-summary
