file,url,status,chars_body
2025-02-22-itd-west-african-hub-launch.md,https://lesoleil.sn/actualites/technologie/defis-numeriques-linstitut-des-technologies-du-digital-lance-le-west-african-hub-pour-une-transformation-inclusive/,filled,3600
2025-02-24-new-deal-1105-billion-investment.md,https://lesoleil.sn/actualites/economie/new-deal-technologique-un-investissement-cle-de-1105-milliards-de-fcfa/,filled,1171
2025-02-24-new-deal-2034-indicators.md,https://lesoleil.sn/actualites/technologie/datajournalisme-zoom-sur-les-indicateurs-du-new-deal-technologique-a-lhorizon-2034/,filled,686
2025-02-24-new-deal-council-members.md,https://lesoleil.sn/actualites/technologie/les-noms-des-20-membres-du-conseil-national-du-new-deal-technologique/,filled,1586
2025-02-24-new-deal-launch-live-coverage.md,https://lesoleil.sn/actualites/technologie/live-suivez-en-direct-le-lancement-du-new-deal-technologique/,filled,9670
2025-02-24-sall-interview-digital-society.md,https://lesoleil.sn/actualites/arts-et-culture/le-new-deal-vise-a-faire-du-senegal-une-societe-digitale-a-forte-valeur-ajoutee/,filled,5166
2025-02-25-new-deal-launch-techreviewafrica.md,https://techreviewafrica.com/news/2080/senegal-launches-new-deal-for-technology-digital-strategy,filled,2958
2025-02-25-sall-digital-strategic-imperative.md,https://lesoleil.sn/actualites/technologie/new-deal-technologique-alioune-sall-le-numerique-est-un-imperatif-strategique-pour-le-developpement-economique/,filled,2154
2025-03-02-senum-explains-new-deal-concepts.md,https://lesoleil.sn/web-tv/new-deal-technologique-les-agents-de-senum-sa-expliquent-les-concepts-cles/,filled,2051
2025-02-27-new-deal-launch-techafricanews.md,https://techafricanews.com/2025/02/27/senegals-digital-revolution-president-bassirou-diomaye-faye-unveils-new-deal-technologique/,filled,778
2025-03-11-france-senegal-digital-entrepreneurship.md,https://www.wearetech.africa/en/fils-uk/news/tech/france-and-senegal-strengthen-ties-to-boost-digital-entrepreneurship-and-innovation,filled,2522
2025-03-12-digital-schools-sonatel-mou.md,https://www.wearetech.africa/en/fils-uk/news/tech/senegal-launches-digital-schools-program-with-sonatel-s-support,filled,2573
2025-03-14-ifc-agricultural-payments-digitization.md,https://www.wearetech.africa/en/fils-uk/news/tech/senegal-to-digitize-agricultural-payments-with-ifc-support,filled,1920
2025-03-19-ai-as-public-good-regulation.md,https://lesoleil.sn/opinions/point-de-vue/lia-comme-bien-public-une-necessite-de-garantir-la-regulation-de-cette-technologie/,filled,8117
2025-03-21-derfj-sonatel-entrepreneurship-pact.md,https://www.wearetech.africa/en/fils-uk/news/tech/senegal-partners-with-sonatel-to-boost-digital-entrepreneurship,filled,2178
2025-03-26-senum-sonatel-partnership.md,https://www.wearetech.africa/en/fils-uk/news/public-management/senum-sonatel-announce-partnership-to-enhance-digital-services-and-connectivity-in-senegal,filled,2411
2025-03-27-huawei-partnership-digital-sovereignty.md,https://www.wearetech.africa/en/fils-uk/news/tech/senegal-eyes-stronger-huawei-partnership-for-digital-sovereignty-and-tech-hub-goals,filled,2402
