Variable,Variable Name,Definition,Data Type,Format,Mandatory,Key,References,Unit,Data Collection Guidelines,Other Metadata
hyperscaler_relationships,Hyperscaler Relationships,"Narrative description of confirmed relationships with major cloud/AI providers (AWS, Azure, Google Cloud, etc.)",string,Text,,,,,"Basis for the 6 binary hyperscaler columns (17-22). Includes anchor tenancy, colocation, equity investment, partnership agreements, and cloud interconnects","Colocation (AWS, Azure, GCP anchor tenants)"
microsoft,Microsoft,"Whether Microsoft or Azure has any confirmed engagement in the data centre (colocation, anchor tenancy, partnership, equity, interconnect)",boolean,Yes/No,,,,,"Added in post-processing modification. Detected via contextual keyword matching on 'microsoft' and 'azure' in hyperscaler_relationships, filtering out negated mentions",Yes
aws,AWS,Whether Amazon Web Services has any confirmed engagement in the data centre,boolean,Yes/No,,,,,Added in post-processing modification. Detected via 'aws' and 'amazon web services' keywords,Yes
google,Google,"Whether Google (Google Cloud, GCP, or Google as investor/partner) has any confirmed engagement in the data centre",boolean,Yes/No,,,,,"Added in post-processing modification. Includes Google Cloud, GCP, Google as equity investor, Google subsea cable partnerships (e.g. Equiano), and Gemini AI rollout",Yes
cloud_act_exposure,Cloud Act Exposure,Whether the facility or its operator is subject to the US CLOUD Act or equivalent foreign data access legislation.,enum,No; Partial; Unknown; Yes,,,,,Determine from parent company jurisdiction. Any US-incorporated entity or its subsidiaries can be compelled to produce data under the CLOUD Act regardless of data location.,"Derived variable: cross-reference parent_hq_country with ownership_type. If parent is US-based, exposure = 1."
chinese_involvement,Chinese Involvement,Level and type of Chinese entity involvement in the facility,enum,Construction/Equipment; Investment; None; Ownership,,,,,Ownership = Chinese parent or major shareholder. Construction/Equipment = Huawei/ZTE/Hikvision infrastructure. Investment = Chinese development finance or equity. Multiple = combination,2 - Construction/Equipment
chinese_entities,Chinese Entities,Names of specific Chinese companies involved with the facility,string,Text,,,,,Only populated when chinese_involvement is not '0 - None',Huawei|ZTE
control_category,Control Category,Who controls the facility from a sovereignty perspective,enum,African control; Joint African/foreign control; Other foreign control; US control,,,,,,African control; US control; Other foreign control; Joint African/foreign control
control_confidence,Control Confidence,How reliable is the control_category assessment,enum,high; low; medium,,,,,,high; medium; low
control_rationale,Control Rationale,A concise reason for the control_category,string,Text,,,,,,
foreign_dependency_score,Foreign Dependency Score,"Composite indicator of the facility's dependency on foreign technology, ownership, and legal jurisdiction.",enum,"High (foreign ownership, proprietary stack, CLOUD Act exposure); Insufficient data; Low (domestic ownership, open source stack, local compliance); Moderate (mixed ownership or stack)",,,,,"Derived variable: calculate from ownership_type, parent_hq_country, open_source_stack, and cloud_act_exposure. Provide the reasoning in comments.",Analytical variable for policy research. The derivation logic should be documented and applied consistently.
carrier_neutrality,Carrier Neutrality,Whether the facility offers carrier-neutral connectivity.,enum,Fully carrier-neutral; Limited carriers; Single carrier / captive; Unknown,,,,,"Check operator marketing, peering databases (PeeringDB), and IXP membership lists.",Carrier neutrality is a key differentiator for colocation facilities and affects data sovereignty options.
submarine_cable_access,Submarine Cable Access,Whether the facility has direct or indirect access to submarine cable landing stations.,enum,At or adjacent to cable landing station; Connected via metro fibre; Dark fibre connection to landing station; Landlocked/no submarine cable access; Unknown,,,,,"Cross-reference with submarine cable maps (submarinecablemap.com, afterfibre.nsrc.org) and operator connectivity specifications.","Important for latency, bandwidth capacity, and international connectivity."
data_residency_guarantee,Data Residency Guarantee,Whether the facility offers contractual guarantees that data remains within national borders.,enum,No; Partial (some data classes); Unknown; Yes (contractual guarantee),,,,,"Search operator service level agreements, terms of service, and government hosting contracts.",Central to data sovereignty. Particularly relevant for government and financial sector clients.
local_dp_compliance,Local Data Protection Compliance,Whether the facility or operator claims compliance with the host country's data protection law.,enum,Certified / audited compliant; No claim; Self-declared compliant; Unknown,,,,,"Search operator compliance pages, regulator registers, and legal notices. Identify the specific national law (e.g. POPIA for South Africa, NDPR for Nigeria).",Name the specific law in comments. This links to the broader DPI legal framework analysis.
security_certifications,Security Certifications,Information security certifications held by the facility or operator.,string,Semi-colon delimited list certifications,,,,,"Search operator websites and certification body registers for: ISO 27001, ISO 27017, ISO 27018, SOC 1, SOC 2, PCI-DSS, ISO 22301. Verify certification dates are current.",List all current certifications separated by semicolons. Note expiry dates in comments if available.
open_source_stack,Open Source Stack,Whether the facility's software stack is primarily open source.,enum,Mixed open source and proprietary; Predominantly open source; Predominantly proprietary; Unknown,,,,,"Infer from virtualisation_platform, cloud_platform, and container_orchestration fields, plus any operator public statements on technology philosophy.",Open source stacks reduce vendor lock-in and foreign dependency. Key indicator for sovereignty-oriented analysis.
total_floor_space_sqm,Total Floor Space Sqm,Total floor space of the facility in square metres.,integer,Square metres,,,,,"Search operator websites, press releases, construction announcements. Convert from sq ft if necessary (1 sqm = 10.764 sq ft).","Often reported for marketing purposes. May refer to total campus, total building, or raised floor area. Note which in comments."
rack_capacity,Rack Capacity,Total number of racks the facility can accommodate.,integer,Units,,,,,"Search operator specifications, marketing materials, and construction announcements.",Sometimes reported as 'cabinet' capacity. Record as reported and note terminology in comments.
it_capacity_mw,IT Capacity (MW),Total IT power capacity in megawatts.,numeric,,,,,MW,"Search operator announcements, Tier certification documents, and industry databases. This refers to power available to IT equipment, excluding cooling and other overheads.","One of the most commercially sensitive variables. Many facilities do not disclose. If only total facility power is available, note this in comments and record as-is."
ixp_presence,IXP Presence,Whether an Internet Exchange Point is hosted at or connected to the facility.,enum,IXP connected (not hosted); IXP hosted on-site; No IXP connection; Unknown,,,,,"Check PeeringDB, African IXP Association (Af-IX), and PCH (Packet Clearing House) databases.",IXP presence is critical for local traffic exchange and reducing dependence on international transit.
gpu_ai_capability,GPU AI Capability,Whether the facility hosts GPU or AI accelerator infrastructure.,enum,No evidence; Planned; Unknown; Yes (confirmed GPU/AI infrastructure),,,,,"Search for NVIDIA partnerships, AI cloud service announcements, and operator marketing of GPU-as-a-service or AI workloads.","Key indicator of AI-readiness. Record specific GPU models if available (e.g. NVIDIA A100, H100) in comments."
comments,Comments,"Free text field for additional context, caveats, and notes.",string,Text,,,,,"Use for: proxy data explanations, conflicting source notes, partial data caveats, recent changes, and any other context that aids interpretation.",This field is essential for data quality. Encourage detailed notes.
source_urls,Source Urls,URLs of all sources consulted for this facility entry.,string,Semi-colon delimited urls,,,,,"Record every source URL consulted, separated by semicolons. Include operator websites, press releases, industry databases, government gazettes, and certification body registers.",Minimum 2 sources per facility for High confidence. Single-source entries must be flagged as Low confidence.
