# DEDUP-UNSAFE held URLs — do NOT prefix-match against these.
# From raw/*.md `url:` frontmatter recording only a domain/stub. Reference only.
# Format: <url>	<holding filename>	<reason>
publisher: undp (digital financing for sustainable development)	2023-01-01 Digital Financing for Sustainable Development - Namibia Ecosystem Assessment & Strategy 2023	bare-domain
publisher: world bank	2022-06-01 Sudan Digital Economy Assessment (World Bank)	bare-domain
publisher: world bank (govtech global partnership — "solutions that work")	2024-01-01 WB GovTech Case Study - Djibouti Digital Customs ASYCUDAWorld	bare-domain
publisher: world bank (health, nutrition & population — mena)	2025-02-20 WB Policy Note - Automatic Health Insurance Enrollment for Vulnerable Individuals (Egypt UHI)	bare-domain
publisher: xalam analytics (prepared for haus, giz and digital investment facility partners)	2025-05-01-east-africa-data-center-markets-brief-xalam	bare-domain
publisher: zahag el mouatassim billeh, university of blida 02 — science, education and innovations in the context of modern problems (issue 12, vol. 8, 2025)	2025-01-01 e-Municipalities in Algeria within the e-Government Strategy (Billeh)	bare-domain
researchictafrica.net	2021-10-31 Digital Identity in Lesotho (Research ICT Africa)	bare-domain
resources.telegeography.com	2025-05-12 International Bandwidth Demand Surpasses 6.4 Pbps	bare-domain
rura.rw	2024-08-09 Regulation Governing SIM Card Registration in Rwanda (RURA No.18-2024)	bare-domain
sadc.int	2012-08-01 SADC RIDMP Executive Summary	bare-domain
smartafrica.org	2025-07-25 RFP - Eswatini National Data Policy (Smart Africa)	bare-domain
st-digital.africa	2024-09-17 ST Digital expands into DRC, partners with OADC Texaf Kinshasa (press release)	bare-domain
stat-niger.org	2024-12-01 Niger Civil Status (État Civil) Analysis Report 2023 (INS Niger)	bare-domain
statistiques.xroad.bj	2026-07-11 UXP Directory	bare-domain
techafricanews.com	2026-02-05 Can Africa's Power Grid Withstand the Next Wave of Emerging Technologies	bare-domain
techafricanews.com/2026/02/09	2026-02-09 South Africa Marks New Era in Satellite Connectivity with Space42 Thuraya-4 Launch	date-fragment-only
techafricanews.com/2026/03/18	2026-03-18 Cassava Technologies Launches AI Factory in South Africa, Plans Expansion Across Africa	date-fragment-only
techcrunch.com/2024/12/17	2024-12-17 Google joins $90M investment into Cassava to bolster Africa's digital infrastructure	date-fragment-only
theafricareport.com/411855	2026-03-16 Why Google, Amazon and Meta are going overland in Africa	date-fragment-only
thepaypers.com/payments/news	2026-03-02 Pesalink and PAPSS link networks for African payments	stub-path
transformhealthcoalition.org	2024-01-01 Health Data Governance Legislative & Regulatory Landscape Review - Malawi Country Report	bare-domain
un.org	2026-07-01 Independent International Scientific Panel on AI - Preliminary Report 2026	bare-domain
undp.org	2024-11-01 Digital Readiness Assessment - Eswatini (UNDP)	bare-domain
unicef.org	2021-01-01 Mozambique CRVS Case Study - UNICEF Evaluation	bare-domain
unknown              	2025-09-11 DZAP World Bank PAD	bare-domain
utumishi.go.tz	2022-01-01 Tanzania e-Government Strategy 2022 (2022-2027)	bare-domain
v0-malawi-digital-readiness.vercel.app	2024-01-01 Malawi Digital Readiness Assessment	bare-domain
vukaninews.co.za	2026-03-31 Concerns over South Africa's proposed digital ID system from traditional leaders	bare-domain
wipo.int	2025-01-01 Global Innovation Index 2025 - Seychelles country profile (WIPO)	bare-domain
worldbank.org	2025-04-01 Data Governance in Mozambique - Rapid Diagnostic (World Bank, draft)	bare-domain
xalamanalytics.com	2025-07-01 Togo Data Center Market Briefing (Xalam Analytics)	bare-domain
